"year","orig_st","dest_st","migrants","orig_lon","orig_lat","dest_lon","dest_lat"
"2014","Alabama","Arizona",150,-86.8283670868833,32.7898260528563,-111.664407332717,34.2931046167216
"2014","Alabama","California",325,-86.8283670868833,32.7898260528563,-119.610695847661,37.2460727464335
"2014","Alabama","Colorado",216,-86.8283670868833,32.7898260528563,-105.547814568319,38.9985455410908
"2014","Alabama","District of Columbia",31,-86.8283670868833,32.7898260528563,-77.0162938383666,38.9047339354987
"2014","Alabama","Florida",2604,-86.8283670868833,32.7898260528563,-82.4974657454463,28.6284396330427
"2014","Alabama","Georgia",4152,-86.8283670868833,32.7898260528563,-83.4463379561302,32.6492228432086
"2014","Alabama","Illinois",130,-86.8283670868833,32.7898260528563,-89.1984091644024,40.0650078281546
"2014","Alabama","Kentucky",26,-86.8283670868833,32.7898260528563,-85.2904209349879,37.5266323075816
"2014","Alabama","Louisiana",271,-86.8283670868833,32.7898260528563,-91.985655837854,31.0584013742724
"2014","Alabama","Maryland",24,-86.8283670868833,32.7898260528563,-76.7724523866689,39.036914473022
"2014","Alabama","Massachusetts",20,-86.8283670868833,32.7898260528563,-71.7986385975184,42.2532937700256
"2014","Alabama","Michigan",49,-86.8283670868833,32.7898260528563,-85.4372224103963,44.3506926780001
"2014","Alabama","Mississippi",765,-86.8283670868833,32.7898260528563,-89.6652080477112,32.7508606107848
"2014","Alabama","Nevada",53,-86.8283670868833,32.7898260528563,-116.65521221328,39.356237411394
"2014","Alabama","New York",88,-86.8283670868833,32.7898260528563,-75.5031161972462,42.9403814867725
"2014","Alabama","North Carolina",172,-86.8283670868833,32.7898260528563,-79.3723769363719,35.5415271209276
"2014","Alabama","Ohio",25,-86.8283670868833,32.7898260528563,-82.7900570340388,40.2914443901137
"2014","Alabama","South Carolina",22,-86.8283670868833,32.7898260528563,-80.8961364975491,33.9079676527948
"2014","Alabama","Tennessee",1588,-86.8283670868833,32.7898260528563,-86.3433754771226,35.8429803035594
"2014","Alabama","Texas",2618,-86.8283670868833,32.7898260528563,-99.3506890602611,31.4844589949927
"2014","Alabama","Virginia",124,-86.8283670868833,32.7898260528563,-78.8122517279173,37.5150164575042
"2014","Alabama","Washington",85,-86.8283670868833,32.7898260528563,-120.446851879112,47.3809630731646
"2014","Arizona","Alabama",167,-111.664407332717,34.2931046167216,-86.8283670868833,32.7898260528563
"2014","Arizona","Arkansas",123,-111.664407332717,34.2931046167216,-92.4392611425191,34.8997389966697
"2014","Arizona","California",14561,-111.664407332717,34.2931046167216,-119.610695847661,37.2460727464335
"2014","Arizona","Colorado",3491,-111.664407332717,34.2931046167216,-105.547814568319,38.9985455410908
"2014","Arizona","Connecticut",227,-111.664407332717,34.2931046167216,-72.7256393618199,41.62037081521
"2014","Arizona","Delaware",76,-111.664407332717,34.2931046167216,-75.5004022731314,38.9870085954116
"2014","Arizona","District of Columbia",131,-111.664407332717,34.2931046167216,-77.0162938383666,38.9047339354987
"2014","Arizona","Florida",2441,-111.664407332717,34.2931046167216,-82.4974657454463,28.6284396330427
"2014","Arizona","Georgia",648,-111.664407332717,34.2931046167216,-83.4463379561302,32.6492228432086
"2014","Arizona","Idaho",474,-111.664407332717,34.2931046167216,-114.659395908676,44.3891097471493
"2014","Arizona","Illinois",1785,-111.664407332717,34.2931046167216,-89.1984091644024,40.0650078281546
"2014","Arizona","Indiana",398,-111.664407332717,34.2931046167216,-86.2756558262557,39.9080706873945
"2014","Arizona","Iowa",251,-111.664407332717,34.2931046167216,-93.5000575090239,42.0746193426519
"2014","Arizona","Kansas",290,-111.664407332717,34.2931046167216,-98.380204804846,38.484701493662
"2014","Arizona","Kentucky",100,-111.664407332717,34.2931046167216,-85.2904209349879,37.5266323075816
"2014","Arizona","Louisiana",153,-111.664407332717,34.2931046167216,-91.985655837854,31.0584013742724
"2014","Arizona","Maine",60,-111.664407332717,34.2931046167216,-69.2266472965953,45.3714242098098
"2014","Arizona","Maryland",369,-111.664407332717,34.2931046167216,-76.7724523866689,39.036914473022
"2014","Arizona","Massachusetts",445,-111.664407332717,34.2931046167216,-71.7986385975184,42.2532937700256
"2014","Arizona","Michigan",909,-111.664407332717,34.2931046167216,-85.4372224103963,44.3506926780001
"2014","Arizona","Minnesota",836,-111.664407332717,34.2931046167216,-94.3090306036759,46.3164900273599
"2014","Arizona","Mississippi",28,-111.664407332717,34.2931046167216,-89.6652080477112,32.7508606107848
"2014","Arizona","Missouri",496,-111.664407332717,34.2931046167216,-92.4774033594091,38.3676061825105
"2014","Arizona","Montana",274,-111.664407332717,34.2931046167216,-109.645131233126,47.0334630331999
"2014","Arizona","Nebraska",290,-111.664407332717,34.2931046167216,-99.8108000056133,41.5271419277104
"2014","Arizona","Nevada",2938,-111.664407332717,34.2931046167216,-116.65521221328,39.356237411394
"2014","Arizona","New Hampshire",96,-111.664407332717,34.2931046167216,-71.5775933046157,43.6856228425331
"2014","Arizona","New Jersey",392,-111.664407332717,34.2931046167216,-74.660776391915,40.1844420259893
"2014","Arizona","New Mexico",2333,-111.664407332717,34.2931046167216,-106.108378766226,34.4213651858589
"2014","Arizona","New York",1357,-111.664407332717,34.2931046167216,-75.5031161972462,42.9403814867725
"2014","Arizona","North Carolina",852,-111.664407332717,34.2931046167216,-79.3723769363719,35.5415271209276
"2014","Arizona","North Dakota",235,-111.664407332717,34.2931046167216,-100.469310938139,47.4463307558844
"2014","Arizona","Ohio",929,-111.664407332717,34.2931046167216,-82.7900570340388,40.2914443901137
